Restaurant,Location,Location #,GUID,Time Zone
Zea Rotisserie & Bar - Covington,Covington ,263121,c89fbdf2-f5d4-4109-90db-cc4b101fa4e3,America/Chicago
Zea Rotisserie & Bar - New Orleans,New Orleans,263125,69f27d73-93ae-4092-ae21-bb9ad2e5e1ee,America/Chicago
Zea Rotisserie & Bar- Harvey,Harvey,263131,97a109e1-b68c-49ce-b33c-07a609781f6c,America/Chicago
Zea Rotisserie & Cafe - Harahan,Harahan,263135,c4431eef-a069-4b7b-bd0a-94a81ddf382e,America/Chicago
Zea Rotisserie & Bar - Metairie,Metairie,263141,e15eb797-90c2-43aa-80f0-bf6a62ee4ceb,America/Chicago
Zea Rotisserie & Bar - Kenner,Kenner,263144,d130031a-d7b0-40a9-bd0b-523661d41e3f,America/Chicago
Zea Rotisserie & Bar - Baton Rouge,Baton Rouge,263145,eff435a1-e629-4c1a-bb83-e0312cc5b5f0,America/Chicago
Zea Rotisserie & Bar - Lafayette,Lafayette,263148,333ed1d7-ee67-45de-b776-10230825984b,America/Chicago
Zea Rotisserie & Bar - Denham Springs,Denham Springs,263154,90b9c29c-2ccd-46d6-ac41-28c34e3d60ab,America/Chicago
Zea Rotisserie & Bar - Ridgeland,Ridgeland,263158,4b78f3a8-15c8-4da8-9210-e2e253a24157,America/Chicago
Taste Buds CSK Lab,8301 Oak Street,217184,bf64bd9a-85bd-4d0a-a6f9-96b92299ca8d,
